name,url,review_count,categories,rating,snippet_text,location,neighborhood,latitude,longitude,search category
Wheelhouse,http://www.yelp.com/biz/wheelhouse-boston-3,101,"[[""Breakfast & Brunch"", ""breakfast_brunch""], [""Burgers"", ""burgers""], [""Sandwiches"", ""sandwiches""]]",4.5,"After going to Wheelhouse, you'll never order a Dunkin Donuts' breakfast sandwich ever again. Well, you might, but you won't enjoy it.

This place has the...","{""cross_streets"": ""Milk St & Batterymarch Arm"", ""city"": ""Boston"", ""display_address"": [""63 Broad St"", ""Financial District"", ""Boston, MA 02109""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""Financial District""], ""postal_code"": ""02109"", ""country_code"": ""US"", ""address"": [""63 Broad St""], ""coordinate"": {""latitude"": 42.3579261, ""longitude"": -71.0539618}, ""state_code"": ""MA""}",Financial District,42.3579261,-71.0539618,restaurants
Tenoch Mexican,http://www.yelp.com/biz/tenoch-mexican-boston,121,"[[""Mexican"", ""mexican""]]",4.5,"So it's official, folks. We've finished our sandwich bracket for Boston. 16 sandwiches of delicious. It was a hard-fought battle, but ultimately, one had to...","{""city"": ""Boston"", ""display_address"": [""3 Lewis St"", ""North End"", ""Boston, MA 02110""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""North End""], ""postal_code"": ""02110"", ""country_code"": ""US"", ""address"": [""3 Lewis St""], ""coordinate"": {""latitude"": 42.3633091, ""longitude"": -71.0517996}, ""state_code"": ""MA""}",North End,42.3633091,-71.0517996,restaurants
O Ya,http://www.yelp.com/biz/o-ya-boston,450,"[[""Japanese"", ""japanese""]]",4.5,"My husband and I came here to celebrate our 20th wedding anniversary. It was by far, the most exquisite and memorable dining experience we've ever had. We...","{""city"": ""Boston"", ""display_address"": [""9 E St Pl"", ""Waterfront"", ""Boston, MA 02111""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""Waterfront"", ""Leather District"", ""South Boston""], ""postal_code"": ""02111"", ""country_code"": ""US"", ""address"": [""9 E St Pl""], ""coordinate"": {""latitude"": 42.3514083135866, ""longitude"": -71.056866645813}, ""state_code"": ""MA""}",Waterfront,42.35140831,-71.05686665,restaurants
Locale,http://www.yelp.com/biz/locale-boston,121,"[[""Italian"", ""italian""], [""Pizza"", ""pizza""]]",4.5,"Truly thankful that we stumbled on Locale while walking through the North End. While searching for good pizza and decent beer, we couldn't have been happier...","{""cross_streets"": ""Fleet St & Tileston St"", ""city"": ""Boston"", ""display_address"": [""352 Hanover St"", ""North End"", ""Boston, MA 02113""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""North End""], ""postal_code"": ""02113"", ""country_code"": ""US"", ""address"": [""352 Hanover St""], ""coordinate"": {""latitude"": 42.3650849, ""longitude"": -71.053187}, ""state_code"": ""MA""}",North End,42.3650849,-71.053187,restaurants
Neptune Oyster,http://www.yelp.com/biz/neptune-oyster-boston,2487,"[[""Seafood"", ""seafood""], [""Live/Raw Food"", ""raw_food""]]",4.5,"Best lobster roll on the whole trip..... and I tried every lobster roll I could find from Boston to Portland with stops in Gloucester, Rockport,...","{""cross_streets"": ""Hull St & Stillman St"", ""city"": ""Boston"", ""display_address"": [""63 Salem St"", ""North End"", ""Boston, MA 02113""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""North End""], ""postal_code"": ""02113"", ""country_code"": ""US"", ""address"": [""63 Salem St""], ""coordinate"": {""latitude"": 42.363618, ""longitude"": -71.056012}, ""state_code"": ""MA""}",North End,42.363618,-71.056012,restaurants
Ko Pies At the Shipyard,http://www.yelp.com/biz/ko-pies-at-the-shipyard-boston,115,"[[""American (New)"", ""newamerican""]]",4.5,"This place is an absolute hidden gem...

Aussie/British style meat pies, lamb shank floater I s one of the best meals I have ever had! Girlfriend had the...","{""cross_streets"": ""Jeffries St & Pearl Pl"", ""city"": ""Boston"", ""display_address"": [""256 Marginal St"", ""Bldg 16"", ""East Boston"", ""Boston, MA 02128""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""East Boston""], ""postal_code"": ""02128"", ""country_code"": ""US"", ""address"": [""256 Marginal St"", ""Bldg 16""], ""coordinate"": {""latitude"": 42.3642387, ""longitude"": -71.032753}, ""state_code"": ""MA""}",East Boston,42.3642387,-71.032753,restaurants
Piperi Mediterranean Grill,http://www.yelp.com/biz/piperi-mediterranean-grill-boston,311,"[[""Mediterranean"", ""mediterranean""], [""Vegan"", ""vegan""], [""Gluten-Free"", ""gluten_free""]]",4.5,BEST falafel I have ever had. I worked next door at One Beacon for a few months and then my company moved. I recently started a new job where I order lunch...,"{""city"": ""Boston"", ""display_address"": [""One Beacon St"", ""Downtown"", ""Boston, MA 02108""], ""geo_accuracy"": 9.5, ""neighborhoods"": [""Downtown""], ""postal_code"": ""02108"", ""country_code"": ""US"", ""address"": [""One Beacon St""], ""coordinate"": {""latitude"": 42.3585362, ""longitude"": -71.0607882}, ""state_code"": ""MA""}",Downtown,42.3585362,-71.0607882,restaurants
Barcelona Wine Bar South End,http://www.yelp.com/biz/barcelona-wine-bar-south-end-boston-5,171,"[[""Spanish"", ""spanish""], [""Wine Bars"", ""wine_bars""], [""Tapas/Small Plates"", ""tapasmallplates""]]",4.5,"Good service, great food. I took my mother here and we had 3 tapas and a meat entree that came with a variety of different meats (chicken, pork chop, hanger...","{""cross_streets"": ""Milford St & Dwight St"", ""city"": ""Boston"", ""display_address"": [""525 Tremont St"", ""South End"", ""Boston, MA 02116""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""South End""], ""postal_code"": ""02116"", ""country_code"": ""US"", ""address"": [""525 Tremont St""], ""coordinate"": {""latitude"": 42.3445511, ""longitude"": -71.0708542}, ""state_code"": ""MA""}",South End,42.3445511,-71.0708542,restaurants
Galleria Umberto,http://www.yelp.com/biz/galleria-umberto-boston,354,"[[""Pizza"", ""pizza""], [""Salad"", ""salad""], [""Sandwiches"", ""sandwiches""]]",4.5,"Yeah i can see why theres so much hype about this place, its pretty good. 

You cannot judge and slander a place that charges pennies to the dollar for its...","{""cross_streets"": ""Parmenter St & Wesley Pl"", ""city"": ""Boston"", ""display_address"": [""289 Hanover St"", ""North End"", ""Boston, MA 02113""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""North End""], ""postal_code"": ""02113"", ""country_code"": ""US"", ""address"": [""289 Hanover St""], ""coordinate"": {""latitude"": 42.36377812922, ""longitude"": -71.0544499754906}, ""state_code"": ""MA""}",North End,42.36377813,-71.05444998,restaurants
Casa Razdora,http://www.yelp.com/biz/casa-razdora-boston,211,"[[""Italian"", ""italian""], [""Pizza"", ""pizza""]]",4.5,Absolutely the best choice we've ever made in Boston.  Went for lunch/dinner prior to the Red Sox game. Caprese  that was jazzed up with some antipasti...,"{""cross_streets"": ""Batterymarch St & Broad St"", ""city"": ""Boston"", ""display_address"": [""115 Water St"", ""Financial District"", ""Boston, MA 02109""], ""geo_accuracy"": 8.0, ""neighborhoods"": [""Financial District""], ""postal_code"": ""02109"", ""country_code"": ""US"", ""address"": [""115 Water St""], ""coordinate"": {""latitude"": 42.3580513, ""longitude"": -71.0546112}, ""state_code"": ""MA""}",Financial District,42.3580513,-71.0546112,restaurants
